     #data, run, bin, learner,            goal,  a, b, c, d,   acc,    pd,   pf,  prec,   bal
 iris.arff,   2,   2,     j48,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,  10,      nb,  Iris-virginica, 12, 0, 1, 2,  93.3, 100.0,  7.7,  66.7,  94.6
 iris.arff,   2,  10,      nb,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,  10,     j48,  Iris-virginica, 12, 0, 1, 2,  93.3, 100.0,  7.7,  66.7,  94.6
 iris.arff,   2,  10,     j48,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   1,      nb,  Iris-virginica,  8, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   1,      nb, Iris-versicolor,  9, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   1,      nb,     Iris-setosa, 11, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   1,     j48, Iris-versicolor,  8, 0, 1, 5,  92.9, 100.0, 11.1,  83.3,  92.1
 iris.arff,   2,   1,     j48,     Iris-setosa, 11, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   9,      nb,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   9,      nb, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   9,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   9,     j48,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   9,     j48, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   9,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   8,      nb,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   8,      nb, Iris-versicolor, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   8,      nb,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   8,     j48,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   8,     j48, Iris-versicolor, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   8,     j48,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   7,      nb,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   7,      nb, Iris-versicolor,  6, 0, 0, 9, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   7,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   7,     j48,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   7,     j48, Iris-versicolor,  6, 0, 0, 9, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   7,     j48,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   6,      nb,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   6,      nb, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   6,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   6,     j48,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   6,     j48, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   6,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   5,      nb,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   5,      nb, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   5,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   5,     j48,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   5,     j48, Iris-versicolor,  7, 0, 2, 6,  86.7, 100.0, 22.2,  75.0,  84.3
 iris.arff,   1,   4,      nb,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   1,   4,      nb, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
